id,SHA,command,environment,expected,exit,elapsed_ms,evidence_level,source_ledger
p9-expected,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT count(*),md5(string_agg(users::text,'|' ORDER BY id)) FROM users""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,6.396306,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-after-target,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""INSERT INTO users VALUES(12,'must-not-restore'); SELECT pg_switch_wal();""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,17.363417,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-archive-check,172da62b63f70d406ffad69893851a01b042ffc4,"['pgbackrest', '--stanza=payesh', 'check']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,318.863652,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-restore-time,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/pitr-restore.sh', '--time', '2026-09-23 00:00:00+00', '--no-start', '--dest', '/tmp/a8dr-pg-2txtqj7h/time']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}",Timestamp remains single argv value; no command parsing failure. Actual recovery target availability checked separately.,48,12.181931,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-restore-latest,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/pitr-restore.sh', '--latest', '--no-start', '--dest', '/tmp/a8dr-pg-2txtqj7h/latest']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}",Documented latest option mapped to valid pgBackRest restore type.,32,12.524013,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-restore-native,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/pitr-restore.sh', '--native', '--time', '2026-09-23 00:00:00+00', '--no-start', '--dest', '/tmp/a8dr-pg-2txtqj7h/native']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}",Runbook documented command accepted; currently unsupported flag.,1,1.680554,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-restore-name,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/pitr-restore.sh', '--name', 'arena_target', '--no-start', '--dest', '/tmp/a8dr-pg-2txtqj7h/restore', '--port', '55449']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}",Named restore copies backup; no-start does NOT certify replay/promote.,0,301.869651,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-target-original-start,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_ctl', '-D', '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/data', '-o', '-c config_file=/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/etc/postgresql.conf', '-l', '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/original.log', '-w', 'start']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}",Unmodified generated restore config boots and replays WAL for separate target.,1,109.434982,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-target-start,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_ctl', '-D', '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/data', '-o', '-c config_file=/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/etc/postgresql.conf -c recovery_target_action=promote -c max_connections=100', '-l', '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/target.log', '-w', 'start']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,107.806635,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-actual,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT count(*),md5(string_agg(users::text,'|' ORDER BY id)) FROM users""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/run', 'PGPORT': '55449', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}",Dataset count/hash equal expected committed target manifest; see comparison JSON.,0,6.296467,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-source-identity,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT current_database(),current_setting('data_directory'),system_identifier FROM pg_control_system()""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,5.64452,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-target-identity,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT current_database(),current_setting('data_directory'),system_identifier FROM pg_control_system()""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/run', 'PGPORT': '55449', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,5.36184,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-verify-correct,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/pitr-verify.sh']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/run', 'PGPORT': '55449', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,62.341989,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-verify-wrong-source,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/pitr-verify.sh']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}",Evidence gate must distinguish wrong target/dataset from approved restore target; current verifier lacks expected identity inputs.,0,61.307121,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-verify-postgres-db,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/pitr-verify.sh']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/run', 'PGPORT': '55449', 'PGUSER': 'user', 'PGDATABASE': 'postgres'}",Wrong database without required tables rejected; wrapper currently forces this DB.,1,59.563478,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-promote-primary-guard,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/failover-postgres.sh', '--dry-run']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/run', 'PGPORT': '55449', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}",Already-primary target rejected.,1,7.706002,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-basebackup,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_basebackup', '-h', '/tmp/a8dr-pg-2txtqj7h/socket', '-p', '55448', '-U', 'user', '-D', '/tmp/a8dr-pg-2txtqj7h/standby', '-R', '-X', 'stream', '-c', 'fast']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,65.221072,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-standby-start,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_ctl', '-D', '/tmp/a8dr-pg-2txtqj7h/standby', '-o', '-p 55452 -k /tmp/a8dr-pg-2txtqj7h/standby-socket -c archive_mode=off', '-l', '/tmp/a8dr-pg-2txtqj7h/standby.log', '-w', 'start']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,108.754252,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-standby-before,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT pg_is_in_recovery(),count(*),md5(string_agg(users::text,'|' ORDER BY id)) FROM users""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/standby-socket', 'PGPORT': '55452', 'PGUSER': 'user', 'PGDATABASE': 'payesh', 'OLD_PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'OLD_PGPORT': '55448'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,9.708022,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-stop-source,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_ctl', '-D', '/tmp/a8dr-pg-2txtqj7h/source', '-m', 'immediate', '-w', 'stop']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,101.63687,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-promote,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', 'tools/failover-postgres.sh']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/standby-socket', 'PGPORT': '55452', 'PGUSER': 'user', 'PGDATABASE': 'payesh', 'OLD_PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'OLD_PGPORT': '55448'}","Stopped old primary -> promote real standby; exit 0, correct role/data on independent query.",0,129.65363,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-standby-after,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT pg_is_in_recovery(),count(*),md5(string_agg(users::text,'|' ORDER BY id)) FROM users""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/standby-socket', 'PGPORT': '55452', 'PGUSER': 'user', 'PGDATABASE': 'payesh', 'OLD_PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'OLD_PGPORT': '55448'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,6.216308,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-stop-standby,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_ctl', '-D', '/tmp/a8dr-pg-2txtqj7h/standby', '-m', 'immediate', '-w', 'stop']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,101.696234,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-stop-data,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_ctl', '-D', '/tmp/a8dr-pg-2txtqj7h/restore/pitr-20260922-211641-8052/data', '-m', 'immediate', '-w', 'stop']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,101.682848,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-init,172da62b63f70d406ffad69893851a01b042ffc4,"['initdb', '-D', '/tmp/a8dr-pg-x693c5pd/source', '-A', 'trust', '--no-locale']",{},"Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,348.69741,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-start,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_ctl', '-D', '/tmp/a8dr-pg-x693c5pd/source', '-l', '/tmp/a8dr-pg-x693c5pd/source.log', '-w', 'start']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,108.762717,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-create-db,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'postgres', '-tAXc', 'CREATE DATABASE payesh']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,21.719954,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-seed,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""CREATE TABLE users(id int primary key, value text); INSERT INTO users SELECT i,'run10-'||i FROM generate_series(1,10)i;CREATE TABLE schools(id int primary key, value text); INSERT INTO schools SELECT i,'run10-'||i FROM generate_series(1,10)i;CREATE TABLE classes(id int primary key, value text); INSERT INTO classes SELECT i,'run10-'||i FROM generate_series(1,10)i;CREATE TABLE grades(id int primary key, value text); INSERT INTO grades SELECT i,'run10-'||i FROM generate_series(1,10)i;CREATE TABLE attendance(id int primary key, value text); INSERT INTO attendance SELECT i,'run10-'||i FROM generate_series(1,10)i""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,11.216471,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-stanza,172da62b63f70d406ffad69893851a01b042ffc4,"['pgbackrest', '--stanza=payesh', 'stanza-create']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,12.848509,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-backup,172da62b63f70d406ffad69893851a01b042ffc4,"['pgbackrest', '--stanza=payesh', '--type=full', 'backup']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,1639.832267,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-info,172da62b63f70d406ffad69893851a01b042ffc4,"['pgbackrest', '--stanza=payesh', '--output=json', 'info']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,5.980597,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-commit-before-target,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""INSERT INTO users VALUES(11,'keep')""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,11.191369,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-before-target,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT pg_create_restore_point('arena_target')""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,5.861326,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-expected,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT count(*),md5(string_agg(users::text,'|' ORDER BY id)) FROM users""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,6.78437,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-after-target,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""INSERT INTO users VALUES(12,'must-not-restore'); SELECT pg_switch_wal();""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,17.352376,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p10-archive-check,172da62b63f70d406ffad69893851a01b042ffc4,"['pgbackrest', '--stanza=payesh', 'check']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-x693c5pd/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-x693c5pd/socket', 'PGPORT': '55450', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,319.976643,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
